sub_group,fm_role,pass_completion_rate_adj,avg_pass_length_adj,progressive_pass_rate_adj,cross_rate_adj,switch_rate_adj,shot_assist_rate_adj,avg_xg_per_shot_adj,shot_on_target_rate_adj,dribble_success_rate_adj,duel_win_rate_adj,duel_per_100_adj,carry_per_100_adj,under_pressure_rate_adj,final_third_rate_adj,pass_per_100_adj,shot_per_100_adj,dribble_per_100_adj,pressure_pass_rate_adj
Attacking Mid,Advanced Playmaker,0.7141,20.6865,0.3123,0.0474,0.0583,0.0446,0.0867,0.3453,0.5784,0.2838,3.667,41.8044,0.3655,0.3912,49.0554,2.4704,2.9992,0.1927
Attacking Mid,Shadow Striker,0.7933,17.5691,0.2794,0.0196,0.0236,0.0261,0.101,0.3328,0.543,0.3435,3.7824,42.9322,0.3435,0.3127,49.574,1.6928,2.129,0.2012
Attacking Mid,Trequartista,0.7171,17.0238,0.264,0.0377,0.0236,0.038,0.1048,0.3629,0.5427,0.2906,5.2465,44.1698,0.4574,0.4305,43.9407,2.6504,3.991,0.2513
Center Back,Ball-Playing Defender,0.8617,22.9693,0.4102,0.0022,0.0283,0.0028,0.1149,0.293,0.6956,0.3223,3.0714,40.8829,0.156,0.035,55.2317,0.5699,0.684,0.1024
Center Back,Central Defender,0.7855,21.6716,0.4132,0.017,0.0255,0.01,0.0827,0.2898,0.6079,0.3867,4.5628,39.2258,0.2338,0.1297,54.3291,0.988,1.1902,0.1339
Center Back,Stopper,0.767,24.932,0.4972,0.0028,0.0321,0.0041,0.0972,0.263,0.7289,0.3195,5.3775,36.587,0.2208,0.0396,56.8947,0.7942,0.7522,0.1397
Central Mid,Box-to-Box,0.7551,18.3938,0.2911,0.0284,0.0266,0.0274,0.0854,0.3354,0.5559,0.3595,5.0022,43.3545,0.3912,0.3299,46.2782,2.0959,3.2304,0.212
Central Mid,Carrilero,0.7881,18.7914,0.3158,0.0095,0.0219,0.0144,0.0795,0.2698,0.6225,0.3972,5.4457,40.1912,0.3354,0.1865,51.7297,1.2252,1.4942,0.2056
Central Mid,Central Midfielder,0.8564,18.1557,0.259,0.0137,0.0262,0.0205,0.0893,0.3212,0.6116,0.4469,2.7097,44.3926,0.2842,0.2676,50.0663,1.1858,1.6651,0.1651
Central Mid,Mezzala,0.7475,21.3857,0.3626,0.0312,0.0473,0.0268,0.0604,0.2534,0.5737,0.3931,3.7126,40.4881,0.289,0.259,52.7759,1.5219,1.5441,0.1682
Defensive Mid,Anchor,0.8469,19.5981,0.3157,0.006,0.0279,0.011,0.0629,0.2286,0.658,0.4416,3.568,41.8225,0.2491,0.1368,52.8906,0.7736,1.1058,0.1498
Defensive Mid,Ball-Winning Midfielder,0.7877,19.4174,0.3239,0.0148,0.0282,0.0191,0.085,0.263,0.5833,0.402,4.8906,41.5978,0.3479,0.2381,49.9392,1.5411,2.015,0.2057
Defensive Mid,Regista,0.7612,21.2599,0.3851,0.0116,0.0377,0.0144,0.0562,0.2317,0.5972,0.3933,5.2229,38.1045,0.2973,0.1522,54.5181,1.0932,1.1534,0.1827
Full Back / Wing Back,Attacking Full Back,0.6972,21.9751,0.4182,0.0598,0.0364,0.0207,0.0701,0.2477,0.5309,0.3546,4.141,36.9201,0.2515,0.2871,56.4925,0.8877,1.6746,0.127
Full Back / Wing Back,Complete Wing Back,0.75,18.393,0.3044,0.0491,0.0206,0.0199,0.0832,0.3132,0.5334,0.398,4.2914,40.6677,0.3168,0.3448,50.9586,1.2412,2.8965,0.1553
Full Back / Wing Back,Full Back,0.8008,18.7051,0.3347,0.031,0.0159,0.0111,0.0794,0.297,0.5334,0.3745,3.4061,38.8577,0.2184,0.2472,55.969,0.5811,1.3424,0.1148
Full Back / Wing Back,Inverted Wing Back,0.7153,20.5554,0.4466,0.0283,0.0178,0.0088,0.0559,0.2393,0.5602,0.3677,5.3108,34.732,0.2685,0.204,58.1819,0.5945,1.3672,0.1405
Goalkeeper,Goalkeeper,0.7363,36.8409,0.7146,0.0001,0.0228,0.0004,0.1044,0.3146,0.6924,0.3211,4.1776,34.6718,0.1315,0.0029,64.9825,1.0611,1.0867,0.0888
Goalkeeper,Sweeper Keeper,0.5693,49.6874,0.8847,0.0001,0.0246,0.0012,0.0864,0.3021,0.6926,0.322,3.4643,29.4374,0.0836,-0.0011,70.7689,1.0756,1.1727,0.0522
Striker,Advanced Forward,0.6768,17.6797,0.233,0.0693,0.0336,0.0393,0.1097,0.335,0.5443,0.2038,6.6976,44.7008,0.5061,0.4894,38.7821,4.4639,5.3558,0.2593
Striker,Complete Forward,0.7652,15.0977,0.165,0.0364,0.0162,0.0422,0.1543,0.4191,0.5537,0.1877,4.8127,44.2246,0.4253,0.5494,41.7705,5.2587,3.9513,0.2274
Striker,False Nine / Deep-Lying Forward,0.7397,17.5966,0.2428,0.0357,0.0329,0.0342,0.1026,0.3316,0.5556,0.2617,4.5584,42.8581,0.3921,0.4333,46.8559,2.7565,2.9942,0.219
Striker,Poacher,0.7232,14.7719,0.1842,0.027,0.0149,0.032,0.1743,0.4581,0.4793,0.1149,8.4504,39.886,0.4543,0.4484,44.9555,4.1131,2.616,0.27
Striker,Pressing Forward,0.7019,14.5258,0.1777,0.0324,0.0134,0.035,0.1325,0.3644,0.525,0.1124,10.2511,42.2991,0.5526,0.51,38.5756,4.798,4.1119,0.3144
Striker,Target Man,0.6385,14.4368,0.2332,0.022,0.0109,0.0308,0.1426,0.3536,0.4688,0.097,13.1694,34.9587,0.5487,0.4481,44.978,4.345,2.5879,0.3652
Winger,Inside Forward,0.7115,15.9533,0.2303,0.0504,0.016,0.0301,0.1263,0.3914,0.4955,0.2338,6.6867,43.841,0.4715,0.4469,42.5372,3.0001,3.926,0.2696
Winger,Inverted Winger,0.6652,19.7728,0.2895,0.0792,0.0516,0.0396,0.0894,0.3452,0.5212,0.2988,4.5503,42.9725,0.3885,0.455,45.9758,2.646,3.8794,0.1949
Winger,Raumdeuter,0.7728,16.8417,0.214,0.048,0.0256,0.0319,0.1057,0.3869,0.5469,0.3487,3.1605,45.042,0.3548,0.4542,46.2786,2.21,3.3225,0.1851
Winger,Winger,0.6888,16.9261,0.201,0.0932,0.0317,0.0427,0.0953,0.3249,0.5201,0.2998,4.4565,46.9718,0.4737,0.5289,39.2732,3.141,6.1276,0.2266
